"code","explanation"
"print(5)","<english> Bro this just prints 5. Literally nothing complicated here."
"for i in range(5): print(i)","<english> Bro this loop just runs from 0 to 4 and prints every number. Easy peasy."
"x = 10; print(x)","<english> Bhai this stores 10 in x and then prints it. Light work."
"def add(a,b): return a+b","<english> This function simply adds two numbers and sends the result back. Basic maths bro."
"if x > 0: print('positive')","<english> Bro if x is bigger than 0, it prints positive. Straight logic."
"arr=[1,2,3]; arr.append(4)","<english> List me 4 jod diya bro. Now it's [1,2,3,4]."
"s='hello'; print(s[::-1])","<english> Bro this flips ‘hello’ backwards. Looks cool but super simple."
"for i in range(3): print(i*2)","<english> Loop runs 3 times and prints double of each index. Easy bro."
"def greet(name): print('Hey',name)","<english> Bro this just prints a friendly hello with a name."
"nums=[3,1,4]; nums.sort()","<english> Sorts the list in increasing order. Small but useful trick."
"def is_even(n): return n%2==0","<english> Returns True if n is even. Quick check bro."
"with open('a.txt','w') as f: f.write('hi')","<english> Creates a file and writes ‘hi’. Safe method using with-statement."
"names=['a','b']; print(names[0])","<english> Bro this prints the first element of the list — easy."
"dict={'a':1,'b':2}; print(dict['a'])","<english> Prints value stored at key 'a'. Simple dictionary lookup."
"x=[i*i for i in range(5)]","<english> Bro this creates a list of squares from 0 to 4 using a fancy shortcut."
"import math; print(math.sqrt(16))","<english> Finds square root of 16 — of course it’s 4 bro."
"try: x=1/0 except: print('error')","<english> Bro this catches the divide-by-zero crash and prints error instead."
"import random; print(random.randint(1,10))","<english> Gives you a random number between 1 and 10. Luck test bro."
"for ch in 'hey': print(ch)","<english> Loops through each character of the word ‘hey’. Cute stuff."
"s='python'; print(len(s))","<english> Bro this tells you how long the string is — here it’s 6."
"x=[1,2,3]; print(x.pop())","<english> Removes the last element from the list and returns it. Stack vibes."
"for i in range(1,6): print(i*i)","<english> Bro this prints squares from 1 to 5. Chill maths."
"def double(x): return x*2","<english> Function that doubles whatever you give it. Very obedient."
"nums=[1,2,3,4]; print(nums[1:3])","<english> Slices out middle part of the list (index 1 and 2). Smooth."
"a={'x':10}; a['y']=20","<english> Adds a new key 'y' with value 20. Dictionary upgraded bro."
"for i in range(3):\n    for j in range(2):\n        print(i,j)","<english> Nested loop — prints every combo of i and j. Like coordinates bro."
"def area(r): return 3.14*r*r","<english> Bro this calculates area of a circle. Classic formula."
"s='hello world'.split()","<english> Breaks the string into words. Very handy."
"' '.join(['hi','bro'])","<english> Joins list items with spaces. Turns into 'hi bro'."
"nums=[3,6,1]; nums.reverse()","<english> Flips the list order. Reverse gear bro."
"def factorial(n): return 1 if n==0 else n*factorial(n-1)","<english> Recursive factorial — classic comp-sci move. Powerful stuff."
"import time; time.sleep(1)","<english> Stops the program for 1 second. Like taking a tiny nap bro."
"def maximum(a,b,c): return max(a,b,c)","<english> Returns the biggest among the three. Alpha move."
"x = [1,2,3]; y=x","<english> Both x and y point to same list bro. Be careful, changes affect both."
"x=[1,2,3]; y=x[:]","<english> This makes a proper copy of the list. Safe duplicate bro."
"for i in range(10,0,-1): print(i)","<english> Countdown from 10 to 1. Action movie vibes bro."
"print(sum([1,2,3,4]))","<english> Adds all numbers in the list — gets 10. Calculator moment."
"def say(): return 'yo bro'","<english> Returns a chill greeting. Not formal at all."
"abs(-10)","<english> Gives positive value no matter what. Mood lifter bro."
"min([4,2,9])","<english> Finds the smallest number — chill task."
"code","explanation"
"max([4,7,1])","<english> Bro this finds the largest number in the list. King of the list."
"for i in range(2,8,2): print(i)","<english> This loop prints even numbers from 2 to 6. Clean and simple."
"x='Python'; print(x.lower())","<english> Converts everything to lowercase. Chill transformation."
"x='Python'; print(x.upper())","<english> Turns the whole string into uppercase. SHOUTING mode bro."
"x=[1,2,3]; x*=2","<english> Doubles the list by repeating it. Now it’s [1,2,3,1,2,3], cool trick."
"def square_list(lst): return [x*x for x in lst]","<english> Makes a new list of squares using a shortcut. Efficient bro."
"if 'a' in ['a','b','c']: print('found')","<english> Checks if ‘a’ exists in the list. If yes, prints found. Simple detective work."
"nums=[5,4,7]; print(sorted(nums, reverse=True))","<english> Sorts numbers from biggest to smallest. Descending mode bro."
"def is_upper(s): return s.isupper()","<english> Checks if the whole string is uppercase. Strict teacher vibes."
"s='hello'; print(s.capitalize())","<english> Makes the first letter capital. Proper English bro."
"def safe_div(a,b): return a/b if b!=0 else 'cant divide'","<english> Smart division — if b is zero, it avoids crash and returns a warning."
"x=[1,2,3]; print(len(x))","<english> Tells you how many items are in the list. Easy count."
"print(type(10))","<english> Shows that 10 is an integer. Inspector mode."
"print(type([1,2]))","<english> Tells you it’s a list. Bro-level classification."
"def combine(a,b): return f'{a}-{b}'","<english> Joins two values with a dash. Looks neat bro."
"for i in range(3): print('hi', i)","<english> Prints ‘hi’ with the index. Friendly spam bro."
"x=[1,2,3]; del x[1]","<english> Deletes value at index 1. List got slimmer bro."
"a={1,2,3}; a.add(4)","<english> Adds 4 to the set. No duplicates allowed bro."
"a={1,2,3}; a.remove(2)","<english> Removes 2 from the set. Set got cleaned bro."
"a={'x':1}; a.update({'y':2})","<english> Adds a new key-value pair to the dictionary. Expansion pack."
"for i in range(3): print('*'*i)","<english> Prints stars increasing line by line. Mini pyramid bro."
"def greet_all(names):\n    for n in names:\n        print('Yo',n)","<english> Greets everyone in the list. Group welcome vibes."
"x=[1,2,3]; print(sum(x)/len(x))","<english> Bro this finds the average of the numbers. Maths but chill."
"n=5; print(n*(n+1)//2)","<english> Formula to find sum of first n numbers. Very clever shortcut bro."
"x=[1,2,3,4]; even=[i for i in x if i%2==0]","<english> Filters only even numbers into a new list. Clean selection."
